Year,App,Taxon,Class,Order,Family,Genus,Importer,Exporter,Condition,Purpose,Source
2016,II,Charmosyna papou,Aves,Psittaciformes,Loriidae,Charmosyna,France,Papua New Guinea,carvings,Circus or travelling exhibition,Wild
2016,II,Charmosyna papou,Aves,Psittaciformes,Loriidae,Charmosyna,Israel,Netherlands,live,Commercial,Bred in captivity
2016,II,Charmosyna papou,Aves,Psittaciformes,Loriidae,Charmosyna,Japan,Belgium,live,Commercial,Bred in captivity
2016,II,Charmosyna papou,Aves,Psittaciformes,Loriidae,Charmosyna,Panama,Netherlands,live,Commercial,Bred in captivity
2016,II,Charmosyna papou,Aves,Psittaciformes,Loriidae,Charmosyna,Singapore,United States of America,live,Zoo,Born in captivity
2016,II,Charmosyna placentis,Aves,Psittaciformes,Loriidae,Charmosyna,Kuwait,Indonesia,live,Commercial,Bred in captivity
2016,II,Charmosyna placentis,Aves,Psittaciformes,Loriidae,Charmosyna,Pakistan,Indonesia,live,Commercial,Bred in captivity
2016,II,Charmosyna placentis,Aves,Psittaciformes,Loriidae,Charmosyna,Taiwan,Belgium,live,Commercial,Bred in captivity
2016,II,Eos cyanogenia,Aves,Psittaciformes,Loriidae,Eos,Czech Republic,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos cyanogenia,Aves,Psittaciformes,Loriidae,Eos,Kuwait,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos reticulata,Aves,Psittaciformes,Loriidae,Eos,Czech Republic,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos reticulata,Aves,Psittaciformes,Loriidae,Eos,Oman,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos reticulata,Aves,Psittaciformes,Loriidae,Eos,Taiwan,Singapore,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,United Arab Emirates,Oman,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Bangladesh,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Chile,Spain,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Chile,Spain,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Hong Kong,Syria,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Iran,Kuwait,live,Personal,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Iran,Kuwait,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Jordan,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Japan,Taiwan,eggs (live),Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Mozambique,Indonesia,live,Commercial,Bred in captivity
2016,II,Eos rubra,Aves,Psittaciformes,Loriidae,Eos,Oman,Indonesia,live,Commercial,Bred in captivity
